name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
LA1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LA12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LA13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LA14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LA15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LB1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LB13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LB14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LB15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LB16	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LB17	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LB18	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LC1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LC12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LC13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LC14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LC15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LZ1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LZ15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LM1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LM2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LM15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LK8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LQ14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	2
LQ15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	2
LS1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LS2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LS3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LS4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
