name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
RF1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RF10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RAF11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
RAF12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
RO1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RO12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
